what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.importer.rose,2.4.0.v200808251517,org.eclipse.emf.importer.rose,1256614543046
stopped,bundle,org.eclipse.emf.importer,2.4.1.v200808251517,org.eclipse.emf.importer,1256614543046
stopped,bundle,org.eclipse.emf.converter,2.4.0.v200808251517,org.eclipse.emf.converter,1256614543046
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.4.1.v200808251517,org.eclipse.emf.codegen.ecore.ui,1256614543046
stopped,bundle,org.eclipse.emf.codegen.ui,2.4.0.v200808251517,org.eclipse.emf.codegen.ui,1256614543046
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.4.0.v200808251517,org.eclipse.emf.mapping.ecore2ecore.editor,1256614543046
stopped,bundle,org.eclipse.emf.ecore.editor,2.4.0.v200808251517,org.eclipse.emf.ecore.editor,1256614543046
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.4.0.v200808251517,org.eclipse.emf.mapping.ecore2xml.ui,1256614543046
stopped,bundle,org.eclipse.emf.mapping.ui,2.4.0.v200808251517,org.eclipse.emf.mapping.ui,1256614543062
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.1.0.v20080605,org.eclipse.jst.jsf.facesconfig,1256614543062
stopped,bundle,org.eclipse.emf.edit.ui,2.4.1.v200808251517,org.eclipse.emf.edit.ui,1256614543062
stopped,bundle,org.eclipse.emf.common.ui,2.4.0.v200808251517,org.eclipse.emf.common.ui,1256614543062
stopped,bundle,org.eclipse.jst.common.project.facet.ui,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.ui,1256614543062
stopped,bundle,org.eclipse.rse.subsystems.files.dstore,2.1.0.v200809110140,org.eclipse.rse.subsystems.files.dstore,1256614543062
stopped,bundle,org.eclipse.rse.subsystems.processes.dstore,2.1.0.v20080604,org.eclipse.rse.subsystems.processes.dstore,1256614543062
stopped,bundle,org.eclipse.rse.subsystems.shells.dstore,2.1.0.v20080604,org.eclipse.rse.subsystems.shells.dstore,1256614543062
stopped,bundle,org.eclipse.rse.connectorservice.dstore,3.0.1.v200809181500,org.eclipse.rse.connectorservice.dstore,1256614543062
stopped,bundle,org.eclipse.rse.subsystems.files.local,2.1.0.v20080604,org.eclipse.rse.subsystems.files.local,1256614543062
stopped,bundle,org.eclipse.rse.subsystems.processes.local,2.1.0.v20080604,org.eclipse.rse.subsystems.processes.local,1256614543062
stopped,bundle,org.eclipse.rse.subsystems.shells.local,2.1.0.v20080604,org.eclipse.rse.subsystems.shells.local,1256614543062
stopped,bundle,org.eclipse.rse.connectorservice.local,2.1.0.v20080604,org.eclipse.rse.connectorservice.local,1256614543062
stopped,bundle,org.eclipse.rse.subsystems.files.ssh,2.1.0.v20080604,org.eclipse.rse.subsystems.files.ssh,1256614543062
stopped,bundle,org.eclipse.rse.subsystems.shells.ssh,2.1.0.v20080604,org.eclipse.rse.subsystems.shells.ssh,1256614543062
stopped,bundle,org.eclipse.rse.subsystems.terminals.ssh,0.1.0.v20080604,org.eclipse.rse.subsystems.terminals.ssh,1256614543062
stopped,bundle,org.eclipse.rse.connectorservice.ssh,2.1.0.v20080604,org.eclipse.rse.connectorservice.ssh,1256614543062
